entite_politique,transfuges_entrants,transfuges_sortants,date
Québec solidaire,1,25,2023-11-08
Coalition avenir Québec,56,32,2023-11-07
Parti conservateur du Québec,2,14,2023-11-07
Parti libéral du Québec,17,29,2023-11-07
Parti québécois,42,19,2023-11-07
Québec solidaire,1,24,2023-11-07
Coalition avenir Québec,55,32,2023-11-06
Parti conservateur du Québec,2,14,2023-11-06
Parti libéral du Québec,17,28,2023-11-06
Parti québécois,42,19,2023-11-06
Québec solidaire,1,24,2023-11-06
Coalition avenir Québec,54,32,2023-11-05
Parti conservateur du Québec,2,14,2023-11-05
Parti libéral du Québec,17,28,2023-11-05
Parti québécois,42,18,2023-11-05
Québec solidaire,1,24,2023-11-05
Coalition avenir Québec,54,32,2023-11-04
Parti conservateur du Québec,2,14,2023-11-04
Parti libéral du Québec,17,28,2023-11-04
Parti québécois,42,18,2023-11-04
Québec solidaire,1,24,2023-11-04
Coalition avenir Québec,54,32,2023-11-03
Parti conservateur du Québec,2,14,2023-11-03
Parti libéral du Québec,17,28,2023-11-03
Parti québécois,42,18,2023-11-03
Québec solidaire,1,24,2023-11-03
Coalition avenir Québec,53,32,2023-11-02
Parti conservateur du Québec,2,13,2023-11-02
Parti libéral du Québec,17,28,2023-11-02
Parti québécois,42,18,2023-11-02
Québec solidaire,1,24,2023-11-02
Coalition avenir Québec,53,32,2023-11-01
Parti conservateur du Québec,2,13,2023-11-01
Parti libéral du Québec,17,28,2023-11-01
Parti québécois,42,18,2023-11-01
Québec solidaire,1,24,2023-11-01
Coalition avenir Québec,55,32,2023-10-31
Parti conservateur du Québec,2,13,2023-10-31
Parti libéral du Québec,17,28,2023-10-31
Parti québécois,42,20,2023-10-31
Québec solidaire,1,24,2023-10-31
Coalition avenir Québec,55,32,2023-10-30
Parti conservateur du Québec,2,13,2023-10-30
Parti libéral du Québec,17,28,2023-10-30
Parti québécois,41,20,2023-10-30
Québec solidaire,1,23,2023-10-30
Coalition avenir Québec,55,32,2023-10-29
Parti conservateur du Québec,2,13,2023-10-29
Parti libéral du Québec,17,28,2023-10-29
Parti québécois,40,20,2023-10-29
Québec solidaire,1,22,2023-10-29
Coalition avenir Québec,55,32,2023-10-28
Parti conservateur du Québec,2,13,2023-10-28
Parti libéral du Québec,17,28,2023-10-28
Parti québécois,40,20,2023-10-28
Québec solidaire,1,22,2023-10-28
Coalition avenir Québec,55,32,2023-10-27
Parti conservateur du Québec,2,13,2023-10-27
Parti libéral du Québec,17,28,2023-10-27
Parti québécois,40,20,2023-10-27
Québec solidaire,1,22,2023-10-27
Coalition avenir Québec,55,32,2023-10-26
Parti conservateur du Québec,2,13,2023-10-26
Parti libéral du Québec,17,28,2023-10-26
Parti québécois,40,20,2023-10-26
Québec solidaire,1,22,2023-10-26
Coalition avenir Québec,54,32,2023-10-25
Parti conservateur du Québec,2,13,2023-10-25
Parti libéral du Québec,17,28,2023-10-25
Parti québécois,40,19,2023-10-25
Québec solidaire,1,22,2023-10-25
Coalition avenir Québec,51,30,2023-10-24
Parti conservateur du Québec,2,13,2023-10-24
Parti libéral du Québec,17,26,2023-10-24
Parti québécois,37,18,2023-10-24
Québec solidaire,1,21,2023-10-24
Coalition avenir Québec,51,30,2023-10-23
Parti conservateur du Québec,2,13,2023-10-23
Parti libéral du Québec,17,26,2023-10-23
Parti québécois,36,18,2023-10-23
Québec solidaire,1,20,2023-10-23
Coalition avenir Québec,51,29,2023-10-22
Parti conservateur du Québec,2,13,2023-10-22
Parti libéral du Québec,17,26,2023-10-22
Parti québécois,35,18,2023-10-22
Québec solidaire,1,20,2023-10-22
Coalition avenir Québec,50,29,2023-10-21
Parti conservateur du Québec,2,12,2023-10-21
Parti libéral du Québec,17,26,2023-10-21
Parti québécois,35,18,2023-10-21
Québec solidaire,1,20,2023-10-21
Coalition avenir Québec,50,29,2023-10-20
Parti conservateur du Québec,2,12,2023-10-20
Parti libéral du Québec,17,26,2023-10-20
Parti québécois,35,18,2023-10-20
Québec solidaire,1,20,2023-10-20
Coalition avenir Québec,49,29,2023-10-19
Parti conservateur du Québec,2,12,2023-10-19
Parti libéral du Québec,17,25,2023-10-19
Parti québécois,35,18,2023-10-19
Québec solidaire,1,20,2023-10-19
Coalition avenir Québec,49,29,2023-10-18
Parti conservateur du Québec,2,12,2023-10-18
Parti libéral du Québec,17,25,2023-10-18
Parti québécois,35,18,2023-10-18
Québec solidaire,1,20,2023-10-18
Coalition avenir Québec,49,29,2023-10-17
Parti conservateur du Québec,2,12,2023-10-17
Parti libéral du Québec,17,25,2023-10-17
Parti québécois,35,18,2023-10-17
Québec solidaire,1,20,2023-10-17
Coalition avenir Québec,49,29,2023-10-16
Parti conservateur du Québec,2,12,2023-10-16
Parti libéral du Québec,17,25,2023-10-16
Parti québécois,35,18,2023-10-16
Québec solidaire,1,20,2023-10-16
Coalition avenir Québec,49,29,2023-10-15
Parti conservateur du Québec,2,12,2023-10-15
Parti libéral du Québec,17,25,2023-10-15
Parti québécois,35,19,2023-10-15
Québec solidaire,1,19,2023-10-15
Coalition avenir Québec,47,29,2023-10-14
Parti conservateur du Québec,2,11,2023-10-14
Parti libéral du Québec,17,24,2023-10-14
Parti québécois,35,19,2023-10-14
Québec solidaire,1,19,2023-10-14
Coalition avenir Québec,47,29,2023-10-13
Parti conservateur du Québec,2,11,2023-10-13
Parti libéral du Québec,16,24,2023-10-13
Parti québécois,35,19,2023-10-13
Québec solidaire,1,18,2023-10-13
Coalition avenir Québec,46,30,2023-10-12
Parti conservateur du Québec,3,11,2023-10-12
Parti libéral du Québec,16,23,2023-10-12
Parti québécois,35,19,2023-10-12
Québec solidaire,1,18,2023-10-12
Coalition avenir Québec,46,30,2023-10-11
Parti conservateur du Québec,3,11,2023-10-11
Parti libéral du Québec,16,23,2023-10-11
Parti québécois,35,19,2023-10-11
Québec solidaire,1,18,2023-10-11
Coalition avenir Québec,45,30,2023-10-10
Parti conservateur du Québec,3,11,2023-10-10
Parti libéral du Québec,16,22,2023-10-10
Parti québécois,35,19,2023-10-10
Québec solidaire,1,18,2023-10-10
Coalition avenir Québec,45,30,2023-10-09
Parti conservateur du Québec,3,11,2023-10-09
Parti libéral du Québec,16,22,2023-10-09
Parti québécois,35,19,2023-10-09
Québec solidaire,1,18,2023-10-09
Coalition avenir Québec,45,30,2023-10-08
Parti conservateur du Québec,3,11,2023-10-08
Parti libéral du Québec,16,22,2023-10-08
Parti québécois,35,19,2023-10-08
Québec solidaire,1,18,2023-10-08
Coalition avenir Québec,45,30,2023-10-07
Parti conservateur du Québec,3,11,2023-10-07
Parti libéral du Québec,16,22,2023-10-07
Parti québécois,35,19,2023-10-07
Québec solidaire,1,18,2023-10-07
Coalition avenir Québec,45,30,2023-10-06
Parti conservateur du Québec,3,11,2023-10-06
Parti libéral du Québec,16,22,2023-10-06
Parti québécois,35,19,2023-10-06
Québec solidaire,1,18,2023-10-06
Coalition avenir Québec,45,30,2023-10-05
Parti conservateur du Québec,3,11,2023-10-05
Parti libéral du Québec,16,22,2023-10-05
Parti québécois,35,19,2023-10-05
Québec solidaire,1,18,2023-10-05
Coalition avenir Québec,46,30,2023-10-04
Parti conservateur du Québec,3,11,2023-10-04
Parti libéral du Québec,16,23,2023-10-04
Parti québécois,35,19,2023-10-04
Québec solidaire,1,18,2023-10-04
Coalition avenir Québec,46,30,2023-10-03
Parti conservateur du Québec,3,10,2023-10-03
Parti libéral du Québec,16,23,2023-10-03
Parti québécois,34,19,2023-10-03
Québec solidaire,1,18,2023-10-03
Coalition avenir Québec,46,30,2023-10-02
Parti conservateur du Québec,3,10,2023-10-02
Parti libéral du Québec,16,23,2023-10-02
Parti québécois,34,18,2023-10-02
Québec solidaire,0,18,2023-10-02
Coalition avenir Québec,46,30,2023-10-01
Parti conservateur du Québec,3,10,2023-10-01
Parti libéral du Québec,16,23,2023-10-01
Parti québécois,34,18,2023-10-01
Québec solidaire,0,18,2023-10-01
Coalition avenir Québec,46,30,2023-09-30
Parti conservateur du Québec,3,10,2023-09-30
Parti libéral du Québec,16,23,2023-09-30
Parti québécois,34,18,2023-09-30
Québec solidaire,0,18,2023-09-30
Coalition avenir Québec,46,30,2023-09-29
Parti conservateur du Québec,3,10,2023-09-29
Parti libéral du Québec,16,23,2023-09-29
Parti québécois,34,18,2023-09-29
Québec solidaire,0,18,2023-09-29
Coalition avenir Québec,46,30,2023-09-28
Parti conservateur du Québec,3,10,2023-09-28
Parti libéral du Québec,16,23,2023-09-28
Parti québécois,34,18,2023-09-28
Québec solidaire,0,18,2023-09-28
Coalition avenir Québec,46,29,2023-09-27
Parti conservateur du Québec,3,10,2023-09-27
Parti libéral du Québec,16,23,2023-09-27
Parti québécois,33,18,2023-09-27
Québec solidaire,0,18,2023-09-27
Coalition avenir Québec,46,29,2023-09-26
Parti conservateur du Québec,3,10,2023-09-26
Parti libéral du Québec,16,23,2023-09-26
Parti québécois,33,18,2023-09-26
Québec solidaire,0,18,2023-09-26
Coalition avenir Québec,46,29,2023-09-25
Parti conservateur du Québec,3,10,2023-09-25
Parti libéral du Québec,16,23,2023-09-25
Parti québécois,32,18,2023-09-25
Québec solidaire,0,17,2023-09-25
Coalition avenir Québec,45,29,2023-09-24
Parti conservateur du Québec,3,9,2023-09-24
Parti libéral du Québec,16,23,2023-09-24
Parti québécois,32,18,2023-09-24
Québec solidaire,0,17,2023-09-24
Coalition avenir Québec,45,29,2023-09-23
Parti conservateur du Québec,3,9,2023-09-23
Parti libéral du Québec,16,23,2023-09-23
Parti québécois,32,18,2023-09-23
Québec solidaire,0,17,2023-09-23
Coalition avenir Québec,45,29,2023-09-22
Parti conservateur du Québec,3,9,2023-09-22
Parti libéral du Québec,16,23,2023-09-22
Parti québécois,32,18,2023-09-22
Québec solidaire,0,17,2023-09-22
Coalition avenir Québec,45,29,2023-09-21
Parti conservateur du Québec,3,9,2023-09-21
Parti libéral du Québec,16,23,2023-09-21
Parti québécois,33,18,2023-09-21
Québec solidaire,0,18,2023-09-21
Coalition avenir Québec,44,29,2023-09-20
Parti conservateur du Québec,3,9,2023-09-20
Parti libéral du Québec,16,23,2023-09-20
Parti québécois,32,18,2023-09-20
Québec solidaire,0,16,2023-09-20
Coalition avenir Québec,44,28,2023-09-19
Parti conservateur du Québec,3,9,2023-09-19
Parti libéral du Québec,16,23,2023-09-19
Parti québécois,31,18,2023-09-19
Québec solidaire,0,16,2023-09-19
Coalition avenir Québec,44,28,2023-09-18
Parti conservateur du Québec,3,9,2023-09-18
Parti libéral du Québec,16,23,2023-09-18
Parti québécois,31,18,2023-09-18
Québec solidaire,0,16,2023-09-18
Coalition avenir Québec,44,28,2023-09-17
Parti conservateur du Québec,3,9,2023-09-17
Parti libéral du Québec,16,23,2023-09-17
Parti québécois,31,18,2023-09-17
Québec solidaire,0,16,2023-09-17
Coalition avenir Québec,44,28,2023-09-16
Parti conservateur du Québec,3,9,2023-09-16
Parti libéral du Québec,16,23,2023-09-16
Parti québécois,31,18,2023-09-16
Québec solidaire,0,16,2023-09-16
Coalition avenir Québec,44,28,2023-09-15
Parti conservateur du Québec,3,9,2023-09-15
Parti libéral du Québec,16,23,2023-09-15
Parti québécois,31,18,2023-09-15
Québec solidaire,0,16,2023-09-15
Coalition avenir Québec,44,28,2023-09-14
Parti conservateur du Québec,3,9,2023-09-14
Parti libéral du Québec,16,23,2023-09-14
Parti québécois,31,18,2023-09-14
Québec solidaire,0,16,2023-09-14
Coalition avenir Québec,43,27,2023-09-13
Parti conservateur du Québec,3,9,2023-09-13
Parti libéral du Québec,15,22,2023-09-13
Parti québécois,31,18,2023-09-13
Québec solidaire,0,16,2023-09-13
Coalition avenir Québec,43,26,2023-09-12
Parti conservateur du Québec,3,9,2023-09-12
Parti libéral du Québec,15,22,2023-09-12
Parti québécois,30,18,2023-09-12
Québec solidaire,0,16,2023-09-12
Coalition avenir Québec,43,26,2023-09-11
Parti conservateur du Québec,3,9,2023-09-11
Parti libéral du Québec,15,22,2023-09-11
Parti québécois,30,18,2023-09-11
Québec solidaire,0,16,2023-09-11
Coalition avenir Québec,43,26,2023-09-10
Parti conservateur du Québec,3,9,2023-09-10
Parti libéral du Québec,15,22,2023-09-10
Parti québécois,30,18,2023-09-10
Québec solidaire,0,16,2023-09-10
Coalition avenir Québec,43,26,2023-09-09
Parti conservateur du Québec,3,9,2023-09-09
Parti libéral du Québec,15,22,2023-09-09
Parti québécois,30,18,2023-09-09
Québec solidaire,0,16,2023-09-09
Coalition avenir Québec,43,26,2023-09-08
Parti conservateur du Québec,3,9,2023-09-08
Parti libéral du Québec,15,22,2023-09-08
Parti québécois,30,18,2023-09-08
Québec solidaire,0,16,2023-09-08
Coalition avenir Québec,42,26,2023-09-07
Parti conservateur du Québec,3,9,2023-09-07
Parti libéral du Québec,15,21,2023-09-07
Parti québécois,30,18,2023-09-07
Québec solidaire,0,16,2023-09-07
Coalition avenir Québec,42,26,2023-09-06
Parti conservateur du Québec,3,9,2023-09-06
Parti libéral du Québec,15,21,2023-09-06
Parti québécois,30,18,2023-09-06
Québec solidaire,0,16,2023-09-06
Coalition avenir Québec,42,25,2023-09-05
Parti conservateur du Québec,3,9,2023-09-05
Parti libéral du Québec,14,21,2023-09-05
Parti québécois,30,18,2023-09-05
Québec solidaire,0,16,2023-09-05
Coalition avenir Québec,42,25,2023-09-04
Parti conservateur du Québec,3,9,2023-09-04
Parti libéral du Québec,14,21,2023-09-04
Parti québécois,29,18,2023-09-04
Québec solidaire,0,15,2023-09-04
Coalition avenir Québec,42,25,2023-09-03
Parti conservateur du Québec,3,9,2023-09-03
Parti libéral du Québec,14,21,2023-09-03
Parti québécois,29,18,2023-09-03
Québec solidaire,0,15,2023-09-03
Coalition avenir Québec,42,25,2023-09-02
Parti conservateur du Québec,3,9,2023-09-02
Parti libéral du Québec,14,21,2023-09-02
Parti québécois,28,18,2023-09-02
Québec solidaire,0,14,2023-09-02
Coalition avenir Québec,42,25,2023-09-01
Parti conservateur du Québec,3,9,2023-09-01
Parti libéral du Québec,14,21,2023-09-01
Parti québécois,28,18,2023-09-01
Québec solidaire,0,14,2023-09-01
Coalition avenir Québec,42,25,2023-08-31
Parti conservateur du Québec,3,9,2023-08-31
Parti libéral du Québec,14,21,2023-08-31
Parti québécois,28,18,2023-08-31
Québec solidaire,0,14,2023-08-31
Coalition avenir Québec,42,25,2023-08-30
